Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
68,CA-2021-1068,2021-03-18,2021-03-22,Express,CUST068,Jessica Adams,Consumer,United States,San Jose,CA,95101,West,PROD068,Office Supplies,Desk Accessories,Leather Desk Accessories,30.00,4,0.1,6.00
69,CA-2021-1069,2021-03-19,2021-03-23,Standard Class,CUST069,John Scott,Corporate,United States,San Antonio,TX,78201,South,PROD069,Furniture,Desks,Glass Desk,180.00,2,0.15,54.00
70,CA-2021-1070,2021-03-20,2021-03-24,Second Class,CUST070,Alice Young,Consumer,United States,Columbus,OH,43201,Midwest,PROD070,Office Supplies,Desk Pads,Custom Desk Pad,28.00,6,0.1,4.20
71,CA-2021-1071,2021-03-21,2021-03-25,Express,CUST071,Emily Brown,Corporate,United States,Columbus,OH,43201,Midwest,PROD071,Furniture,Meeting Tables,Glass Meeting Table,220.00,1,0.2,44.00
72,CA-2021-1072,2021-03-22,2021-03-26,Standard Class,CUST072,John Smith,Consumer,United States,Miami,FL,33101,South,PROD072,Office Supplies,Office Supplies,Letterhead Paper,18.00,8,0.05,3.60
73,CA-2021-1073,2021-03-23,2021-03-27,Second Class,CUST073,Susan Davis,Corporate,United States,Chicago,IL,60601,Midwest,PROD073,Furniture,Bookshelves,Wooden Bookshelves,150.00,2,0.1,30.00
74,CA-2021-1074,2021-03-24,2021-03-28,Express,CUST074,Robert Adams,Consumer,United States,San Diego,CA,92101,West,PROD074,Office Supplies,Desk Organizers,Wood Desk Organizers,40.00,4,0.1,8.00
75,CA-2021-1075,2021-03-25,2021-03-29,Standard Class,CUST075,Emily Walker,Corporate,United States,San Francisco,CA,94101,West,PROD075,Furniture,Conference Chairs,Mesh Conference Chairs,160.00,2,0.1,32.00
76,CA-2021-1076,2021-03-26,2021-03-30,Second Class,CUST076,Michael Clark,Consumer,United States,Indianapolis,IN,46201,Midwest,PROD076,Office Supplies,Desk Organizers,Metal Desk Organizers,30.00,5,0.1,6.00
77,CA-2021-1077,2021-03-27,2021-03-31,Express,CUST077,Jane Johnson,Corporate,United States,Philadelphia,PA,19101,Northeast,PROD077,Furniture,Reception Chairs,Leather Reception Chairs,200.00,1,0.2,40.00
78,CA-2021-1078,2021-03-28,2021-04-01,Standard Class,CUST078,Robert Thompson,Consumer,United States,San Jose,CA,95101,West,PROD078,Office Supplies,Sticky Notes,Colorful Sticky Notes,22.00,6,0.1,4.40
79,CA-2021-1079,2021-03-29,2021-04-02,Second Class,CUST079,Lisa White,Corporate,United States,San Francisco,CA,94101,West,PROD079,Furniture,Reception Desks,Wooden Reception Desks,250.00,1,0.2,50.00
80,CA-2021-1080,2021-03-30,2021-04-03,Express,CUST080,Chris Clark,Consumer,United States,Miami,FL,33101,South,PROD080,Office Supplies,Desk Accessories,Custom Desk Accessories,30.00,4,0.1,6.00
81,CA-2021-1081,2021-04-01,2021-04-05,Standard Class,CUST081,Alice Green,Corporate,United States,Chicago,IL,60601,Midwest,PROD081,Furniture,Office Tables,Glass Office Tables,220.00,1,0.1,22.00
82,CA-2021-1082,2021-04-02,2021-04-06,Second Class,CUST082,David Martinez,Consumer,United States,San Antonio,TX,78201,South,PROD082,Office Supplies,Office Supplies,Sticky Note Pack,18.00,7,0.05,2.52
83,CA-2021-1083,2021-04-03,2021-04-07,Express,CUST083,Emily Adams,Corporate,United States,Indianapolis,IN,46201,Midwest,PROD083,Furniture,Conference Tables,Wooden Conference Tables,260.00,1,0.2,52.00
84,CA-2021-1084,2021-04-04,2021-04-08,Standard Class,CUST084,John Harris,Consumer,United States,Columbus,OH,43201,Midwest,PROD084,Office Supplies,Desk Accessories,Plastic Desk Accessories,30.00,5,0.1,6.00
85,CA-2021-1085,2021-04-05,2021-04-09,Second Class,CUST085,Jessica Wilson,Corporate,United States,San Jose,CA,95101,West,PROD085,Furniture,Meeting Chairs,Leather Meeting Chairs,180.00,2,0.1,36.00
86,CA-2021-1086,2021-04-06,2021-04-10,Express,CUST086,Michael Young,Consumer,United States,Seattle,WA,98101,West,PROD086,Office Supplies,Desk Accessories,Leather Desk Accessories,35.00,4,0.1,7.00
87,CA-2021-1087,2021-04-07,2021-04-11,Standard Class,CUST087,Emily Roberts,Consumer,United States,Los Angeles,CA,90001,West,PROD087,Furniture,Office Desks,Wooden Office Desk,210.00,1,0.2,42.00
88,CA-2021-1088,2021-04-08,2021-04-12,Second Class,CUST088,John Martinez,Corporate,United States,San Diego,CA,92101,West,PROD088,Furniture,Meeting Tables,Wooden Meeting Table,240.00,1,0.2,48.00
89,CA-2021-1089,2021-04-09,2021-04-13,Express,CUST089,Alice Thompson,Consumer,United States,Chicago,IL,60601,Midwest,PROD089,Office Supplies,Mouse Pads,Custom Mouse Pad,18.00,6,0.1,3.60
90,CA-2021-1090,2021-04-10,2021-04-14,Standard Class,CUST090,Robert Young,Corporate,United States,Miami,FL,33101,South,PROD090,Furniture,Conference Chairs,Wooden Conference Chairs,160.00,3,0.1,48.00
91,CA-2021-1091,2021-04-11,2021-04-15,Second Class,CUST091,Emily Green,Consumer,United States,Seattle,WA,98101,West,PROD091,Office Supplies,Desk Organizers,Plastic Desk Organizers,28.00,5,0.1,4.40
92,CA-2021-1092,2021-04-12,2021-04-16,Express,CUST092,Michael Johnson,Corporate,United States,San Francisco,CA,94101,West,PROD092,Furniture,Reception Desks,Wooden Reception Desks,250.00,1,0.2,50.00
93,CA-2021-1093,2021-04-13,2021-04-17,Standard Class,CUST093,Alice Adams,Consumer,United States,Columbus,OH,43201,Midwest,PROD093,Office Supplies,Desk Pads,Custom Desk Pad,28.00,6,0.1,4.20
94,CA-2021-1094,2021-04-14,2021-04-18,Second Class,CUST094,John Smith,Corporate,United States,Miami,FL,33101,South,PROD094,Furniture,Desks,Glass Desk,180.00,2,0.15,54.00
95,CA-2021-1095,2021-04-15,2021-04-19,Express,CUST095,Susan Davis,Consumer,United States,Chicago,IL,60601,Midwest,PROD095,Office Supplies,Desk Accessories,Colored Desk Accessories,30.00,4,0.1,6.00
96,CA-2021-1096,2021-04-16,2021-04-20,Standard Class,CUST096,Robert Adams,Corporate,United States,San Diego,CA,92101,West,PROD096,Furniture,Bookshelves,Wooden Bookshelves,150.00,2,0.1,30.00
97,CA-2021-1097,2021-04-17,2021-04-21,Second Class,CUST097,Emily Walker,Consumer,United States,San Francisco,CA,94101,West,PROD097,Office Supplies,Desk Accessories,Leather Desk Accessories,35.00,4,0.1,7.00
98,CA-2021-1098,2021-04-18,2021-04-22,Express,CUST098,John Clark,Corporate,United States,Philadelphia,PA,19101,Northeast,PROD098,Furniture,Reception Chairs,Leather Reception Chairs,200.00,1,0.2,40.00
99,CA-2021-1099,2021-04-19,2021-04-23,Standard Class,CUST099,Alice Green,Consumer,United States,San Antonio,TX,78201,South,PROD099,Office Supplies,Sticky Notes,Colorful Sticky Notes,22.00,6,0.1,4.40
100,CA-2021-1100,2021-04-20,2021-04-24,Second Class,CUST100,Michael Clark,Consumer,United States,Indianapolis,IN,46201,Midwest,PROD100,Office Supplies,Desk Organizers,Metal Desk Organizers,30.00,5,0.1,6.00
